# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
G2	EBG00000313337	EBG00000313337-1	lincRNA	0	0	0	1	0	0	0	0	0	1
PE25	Rv2431c	CCP45223	protein_coding	0	0	0	1	1	0	0	0	0	0
PE_PGRS35	Rv1983	CCP44753	protein_coding	0	0	0	1	0	0	0	0	0	1
PPE41	Rv2430c	CCP45222	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv0004	Rv0004	CCP42726	protein_coding	0	0	0	2	2	0	0	0	0	0
Rv0007	Rv0007	CCP42729	protein_coding	0	0	0	2	0	0	0	0	0	2
Rv0008c	Rv0008c	CCP42730	protein_coding	0	0	0	2	2	0	0	0	0	0
Rv0666	Rv0666	CCP43409	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv0678	Rv0678	CCP43421	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv0679c	Rv0679c	CCP43422	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv0680c	Rv0680c	CCP43423	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv0681	Rv0681	CCP43424	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv0686	Rv0686	CCP43429	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv0696	Rv0696	CCP43440	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv0697	Rv0697	CCP43441	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv0698	Rv0698	CCP43442	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv0699	Rv0699	CCP43443	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1313c	Rv1313c	CCP44070	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv1314c	Rv1314c	CCP44071	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv1480	Rv1480	CCP44240	protein_coding	0	0	0	2	2	0	0	0	0	0
Rv1481	Rv1481	CCP44241	protein_coding	0	0	0	2	2	0	0	0	0	0
Rv1482c	Rv1482c	CCP44242	protein_coding	0	0	0	2	0	0	0	0	0	2
Rv1486c	Rv1486c	CCP44246	protein_coding	0	0	0	2	2	0	0	0	0	0
Rv1487	Rv1487	CCP44247	protein_coding	0	0	0	2	0	0	0	0	0	2
Rv1488	Rv1488	CCP44248	protein_coding	0	0	0	2	0	0	0	0	0	2
Rv1489	Rv1489	CCP44249	protein_coding	0	0	0	2	0	0	0	0	0	2
Rv1489A	Rv1489A	CCP44250	protein_coding	0	0	0	2	0	0	0	0	0	2
Rv1490	Rv1490	CCP44251	protein_coding	0	0	0	2	0	0	0	0	0	2
Rv1691	Rv1691	CCP44456	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1692	Rv1692	CCP44457	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1693	Rv1693	CCP44458	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1697	Rv1697	CCP44462	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv1903	Rv1903	CCP44670	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1904	Rv1904	CCP44671	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1906c	Rv1906c	CCP44673	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv1907c	Rv1907c	CCP44674	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv1910c	Rv1910c	CCP44677	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1913	Rv1913	CCP44680	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv1914c	Rv1914c	CCP44681	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1977	Rv1977	CCP44746	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1978	Rv1978	CCP44747	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1979c	Rv1979c	CCP44748	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv1985c	Rv1985c	CCP44755	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv1986	Rv1986	CCP44756	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2038c	Rv2038c	CCP44811	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2039c	Rv2039c	CCP44812	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2040c	Rv2040c	CCP44813	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2041c	Rv2041c	CCP44814	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2042c	Rv2042c	CCP44815	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2044c	Rv2044c	CCP44817	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv2047c	Rv2047c	CCP44820	protein_coding	0	0	0	1	1	0	0	0	0	0
Rv2424c	Rv2424c	CCP45215	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2425c	Rv2425c	CCP45216	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2426c	Rv2426c	CCP45217	protein_coding	0	0	0	1	0	0	0	0	0	1
Rv2432c	Rv2432c	CCP45224	protein_coding	0	0	0	1	1	0	0	0	0	0
